id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
65,4/25/2014,564.53,571.99,563.96,571.94,13938400,0,1,75.4853031,76.48280609,75.40908638,76.47612041,97568800,-0.006476479,-0.647647877,0.352352123
66,5/14/2014,592.43,597.4,591.74,593.87,5943000,0,1,79.6591502,80.3274249,79.56637162,79.85277506,41601000,0.000726351,0.072635135,1.072635135
67,5/16/2014,588.63,597.53,585.4,597.51,9866300,0,1,79.14819571,80.34490492,78.71388439,80.34221568,69064100,-0.010206827,-1.020682697,-0.020682697
68,5/30/2014,637.98,644.17,628.9,633,20143600,0,1,85.78388104,86.61619902,84.56296873,85.11426173,141005200,0.016134427,1.613442701,2.613442701
69,6/9/2014,92.7,93.88,91.75,93.7,75414997,0,7,87.25220291,88.36285662,86.35803254,88.19343487,75414997,-0.857362671,0,1
70,6/13/2014,92.2,92.44,90.88,91.28,54525000,0,1,86.78158692,87.00748259,85.53916073,85.91565352,54525000,-0.019566142,-1.956614207,-0.956614207
71,6/16/2014,91.51,92.75,91.45,92.2,35561000,0,1,86.13213687,87.2992645,86.07566295,86.78158692,35561000,-0.007483731,-0.748373102,0.251626898
72,6/26/2014,90.37,91.05,89.8,90.9,32629000,0,1,85.05913243,85.69917017,84.52263021,85.55798537,32629000,0.001773639,0.177363929,1.177363929
73,7/8/2014,96.27,96.8,93.92,95.35,65222000,0,1,90.61240101,91.11125395,88.4005059,89.74646761,65222000,0.022625876,2.262587635,3.262587635
74,7/22/2014,94.68,94.89,94.12,94.72,55197000,0,1,89.11584219,89.3135009,88.58875229,89.15349147,55197000,-0.003263501,-0.326350142,0.673649858
75,7/29/2014,99.33,99.44,98.25,98.38,43143000,0,1,93.49257082,93.59610633,92.4760403,92.59840045,43143000,0.015436516,1.543651605,2.543651605
76,8/4/2014,96.37,96.58,95.17,95.59,39958000,0,1,90.70652421,90.90418292,89.57704585,89.97236328,39958000,0.015489989,1.548998946,2.548998946
77,8/15/2014,97.9,98.19,96.86,97.98,48951000,0,1,92.60500143,92.87931655,91.62125065,92.68067456,48951000,0.005856365,0.585636494,1.585636494
78,8/18/2014,98.49,99.37,97.98,99.16,47572000,0,1,93.16309081,93.99549532,92.68067456,93.79685334,47572000,0.006026558,0.602655771,1.602655771
79,8/19/2014,99.41,100.68,99.32,100.53,69274700,0,1,94.03333189,95.23464294,93.94819961,95.09275581,69274700,0.00934105,0.934104985,1.934104985
80,8/22/2014,100.29,101.47,100.19,101.32,44102400,0,1,94.8657364,95.98191517,94.77114498,95.84002804,44102400,-0.00278413,-0.278413046,0.721586954
81,9/2/2014,103.06,103.74,102.72,103.3,53491400,0,1,97.48591877,98.12914043,97.16430793,97.71293818,53491400,0.00194439,0.194439043,1.194439043
82,9/18/2014,101.93,102.35,101.56,101.79,37023900,0,1,96.41703571,96.81431967,96.06704745,96.28460772,37023900,0.006517231,0.651723116,1.651723116
83,9/23/2014,100.6,102.94,100.54,102.64,63347200,0,1,95.1589698,97.37240906,95.10221495,97.0886348,63347200,-0.011787819,-1.178781925,-0.178781925
84,10/3/2014,99.44,100.21,99.04,99.62,43469585,0,1,94.06170932,94.79006326,93.68334363,94.23197387,43469585,0.001712501,0.171250126,1.171250126
85,10/7/2014,99.43,100.12,98.73,98.75,42094183,0,1,94.05225017,94.70493098,93.39011022,93.40902851,42094183,-0.005202601,-0.52026013,0.47973987
86,10/8/2014,98.76,101.11,98.31,100.8,57404674,0,1,93.41848765,95.64138605,92.99282626,95.34815264,57404674,-0.006738409,-0.673840893,0.326159107
87,10/13/2014,101.33,101.78,99.81,99.81,53583368,0,1,95.84948718,96.27514857,94.41169757,94.41169757,53583368,0.006356143,0.635614262,1.635614262
88,10/20/2014,98.315,99.96,98.22,99.76,77517279,0,1,92.99755583,94.55358471,92.90769398,94.36440186,77517279,0.008358974,0.835897436,1.835897436
89,11/17/2014,114.27,117.28,113.3,113.99,46746712,0,1,108.5569779,111.4164905,107.6354738,108.2909767,46746712,0.009898365,0.9898365,1.9898365
90,11/18/2014,113.94,115.69,113.89,115.47,44223978,0,1,108.2434765,109.9059838,108.1959763,109.6969829,44223978,-0.002887897,-0.288789709,0.711210291
91,12/3/2014,115.75,116.35,115.11,115.93,43063440,0,1,109.9629841,110.5329866,109.3549814,110.1339848,43063440,0.019823789,1.982378855,2.982378855
92,12/12/2014,110.46,111.87,109.58,109.73,56028138,0,1,104.937462,106.2769679,104.1014583,104.2439589,56028138,-0.016034206,-1.603420631,-0.603420631
93,12/17/2014,107.12,109.84,106.82,109.41,53411773,0,1,101.764448,104.3484594,101.4794467,103.9399576,53411773,0.00705086,0.70508602,1.70508602
